Muestra 1
01/03/2023 14:34
Longitud de onda (nm)	10mm Absorbance
//WLCalib: Shift 	0,19333	
//WLCalib: 261S 	0,41000	
//WLCalib: 362S 	0,17000	
//WLCalib: 484S 	0,16000	
//WLCalib: 529S 	0,29000	
//WLCalib: 823S 	0,07000	
//QSpecEnd: 
190,0	14,015
190,5	13,985
191,0	13,903
191,5	13,901
192,0	13,922
192,5	13,893
193,0	13,948
193,5	13,953
194,0	14,082
194,5	14,210
195,0	14,319
195,5	14,450
196,0	14,440
196,5	14,648
197,0	14,605
197,5	14,523
198,0	14,442
198,5	14,363
199,0	14,289
199,5	14,205
200,0	14,077
200,5	14,026
201,0	13,957
201,5	13,882
202,0	13,741
202,5	13,727
203,0	13,612
203,5	13,537
204,0	13,384
204,5	13,191
205,0	12,957
205,5	12,838
206,0	12,663
206,5	12,584
207,0	12,498
207,5	12,456
208,0	12,238
208,5	12,121
209,0	11,791
209,5	11,536
210,0	11,152
210,5	10,811
211,0	10,472
211,5	10,145
212,0	9,796
212,5	9,512
213,0	9,218
213,5	9,023
214,0	8,726
214,5	8,594
215,0	8,311
215,5	8,091
216,0	7,782
216,5	7,485
217,0	7,294
217,5	6,952
218,0	6,588
218,5	6,262
219,0	6,019
219,5	5,777
220,0	5,507
220,5	5,282
221,0	4,993
221,5	4,812
222,0	4,673
222,5	4,416
223,0	4,158
223,5	3,973
224,0	3,776
224,5	3,494
225,0	3,246
225,5	2,999
226,0	2,727
226,5	2,502
227,0	2,326
227,5	2,140
228,0	2,006
228,5	1,903
229,0	1,796
229,5	1,695
230,0	1,624
230,5	1,512
231,0	1,376
231,5	1,274
232,0	1,156
232,5	1,025
233,0	0,907
233,5	0,796
234,0	0,680
234,5	0,607
235,0	0,545
235,5	0,484
236,0	0,439
236,5	0,373
237,0	0,328
237,5	0,285
238,0	0,262
238,5	0,222
239,0	0,220
239,5	0,239
240,0	0,225
240,5	0,235
241,0	0,210
241,5	0,156
242,0	0,157
242,5	0,133
243,0	0,118
243,5	0,069
244,0	0,043
244,5	0,019
245,0	-0,013
245,5	-0,002
246,0	0,006
246,5	0,029
247,0	0,058
247,5	0,083
248,0	0,098
248,5	0,063
249,0	0,035
249,5	0,006
250,0	-0,030
250,5	-0,036
251,0	-0,031
251,5	-0,026
252,0	-0,037
252,5	-0,046
253,0	-0,045
253,5	-0,024
254,0	-0,006
254,5	-0,020
255,0	-0,042
255,5	-0,061
256,0	-0,061
256,5	-0,067
257,0	-0,077
257,5	-0,090
258,0	-0,059
258,5	-0,030
259,0	0,019
259,5	0,037
260,0	0,046
260,5	0,019
261,0	0,014
261,5	0,016
262,0	-0,028
262,5	-0,039
263,0	-0,053
263,5	-0,092
264,0	-0,076
264,5	-0,059
265,0	-0,076
265,5	-0,099
266,0	-0,120
266,5	-0,155
267,0	-0,184
267,5	-0,179
268,0	-0,194
268,5	-0,184
269,0	-0,160
269,5	-0,118
270,0	-0,138
270,5	-0,130
271,0	-0,134
271,5	-0,129
272,0	-0,104
272,5	-0,089
273,0	-0,047
273,5	-0,029
274,0	-0,034
274,5	-0,031
275,0	-0,065
275,5	-0,092
276,0	-0,102
276,5	-0,109
277,0	-0,097
277,5	-0,102
278,0	-0,096
278,5	-0,077
279,0	-0,075
279,5	-0,091
280,0	-0,127
280,5	-0,184
281,0	-0,191
281,5	-0,191
282,0	-0,167
282,5	-0,156
283,0	-0,092
283,5	-0,018
284,0	-0,012
284,5	-0,011
285,0	-0,034
285,5	-0,067
286,0	-0,057
286,5	-0,078
287,0	-0,064
287,5	-0,076
288,0	-0,058
288,5	-0,075
289,0	-0,080
289,5	-0,062
290,0	-0,090
290,5	-0,114
291,0	-0,099
291,5	-0,121
292,0	-0,112
292,5	-0,141
293,0	-0,143
293,5	-0,153
294,0	-0,134
294,5	-0,145
295,0	-0,168
295,5	-0,178
296,0	-0,160
296,5	-0,168
297,0	-0,117
297,5	-0,109
298,0	-0,091
298,5	-0,102
299,0	-0,124
299,5	-0,143
300,0	-0,145
300,5	-0,130
301,0	-0,129
301,5	-0,119
302,0	-0,089
302,5	-0,091
303,0	-0,101
303,5	-0,123
304,0	-0,112
304,5	-0,114
305,0	-0,087
305,5	-0,078
306,0	-0,097
306,5	-0,127
307,0	-0,131
307,5	-0,122
308,0	-0,145
308,5	-0,125
309,0	-0,063
309,5	-0,052
310,0	-0,006
310,5	-0,004
311,0	0,001
311,5	-0,029
312,0	-0,036
312,5	-0,060
313,0	-0,079
313,5	-0,100
314,0	-0,104
314,5	-0,102
315,0	-0,111
315,5	-0,124
316,0	-0,108
316,5	-0,115
317,0	-0,119
317,5	-0,092
318,0	-0,060
318,5	-0,091
319,0	-0,089
319,5	-0,082
320,0	-0,108
320,5	-0,109
321,0	-0,112
321,5	-0,114
322,0	-0,110
322,5	-0,100
323,0	-0,112
323,5	-0,117
324,0	-0,116
324,5	-0,141
325,0	-0,129
325,5	-0,124
326,0	-0,123
326,5	-0,070
327,0	-0,041
327,5	-0,050
328,0	-0,044
328,5	-0,033
329,0	-0,013
329,5	-0,010
330,0	0,006
330,5	-0,001
331,0	0,031
331,5	0,045
332,0	0,028
332,5	-0,020
333,0	-0,053
333,5	-0,086
334,0	-0,079
334,5	-0,113
335,0	-0,136
335,5	-0,141
336,0	-0,134
336,5	-0,123
337,0	-0,076
337,5	-0,054
338,0	-0,029
338,5	0,001
339,0	0,034
339,5	0,077
340,0	0,078
340,5	0,050
341,0	0,042
341,5	0,057
342,0	0,053
342,5	0,011
343,0	-0,007
343,5	-0,026
344,0	-0,043
344,5	-0,035
345,0	-0,064
345,5	-0,073
346,0	-0,043
346,5	-0,056
347,0	-0,063
347,5	-0,044
348,0	-0,002
348,5	0,004
349,0	-0,008
349,5	-0,006
350,0	-0,012
350,5	-0,012
351,0	-0,035
351,5	-0,053
352,0	-0,064
352,5	-0,054
353,0	-0,029
353,5	-0,044
354,0	-0,075
354,5	-0,056
355,0	-0,029
355,5	-0,032
356,0	-0,038
356,5	-0,049
357,0	-0,095
357,5	-0,115
358,0	-0,110
358,5	-0,113
359,0	-0,115
359,5	-0,073
360,0	-0,038
360,5	-0,033
361,0	-0,028
361,5	-0,041
362,0	-0,049
362,5	-0,052
363,0	-0,037
363,5	-0,060
364,0	-0,102
364,5	-0,102
365,0	-0,122
365,5	-0,121
366,0	-0,069
366,5	-0,032
367,0	0,009
367,5	0,011
368,0	-0,003
368,5	-0,017
369,0	0,007
369,5	0,031
370,0	0,027
370,5	0,037
371,0	0,090
371,5	0,116
372,0	0,119
372,5	0,104
373,0	0,054
373,5	0,014
374,0	0,019
374,5	-0,031
375,0	-0,070
375,5	-0,120
376,0	-0,128
376,5	-0,118
377,0	-0,119
377,5	-0,080
378,0	-0,054
378,5	-0,023
379,0	0,070
379,5	0,082
380,0	0,124
380,5	0,113
381,0	0,102
381,5	0,074
382,0	0,021
382,5	0,006
383,0	-0,027
383,5	-0,018
384,0	0,009
384,5	-0,022
385,0	-0,019
385,5	-0,019
386,0	-0,014
386,5	-0,008
387,0	-0,021
387,5	-0,012
388,0	-0,040
388,5	-0,051
389,0	-0,044
389,5	-0,041
390,0	-0,030
390,5	-0,007
391,0	0,022
391,5	0,049
392,0	0,083
392,5	0,094
393,0	0,054
393,5	0,034
394,0	0,013
394,5	0,001
395,0	-0,003
395,5	-0,020
396,0	0,003
396,5	0,049
397,0	0,071
397,5	0,082
398,0	0,059
398,5	0,074
399,0	0,039
399,5	0,030
400,0	0,038
400,5	0,033
401,0	0,038
401,5	0,057
402,0	0,043
402,5	0,046
403,0	0,054
403,5	0,049
404,0	0,031
404,5	0,056
405,0	0,076
405,5	0,082
406,0	0,077
406,5	0,065
407,0	0,047
407,5	0,029
408,0	0,027
408,5	0,006
409,0	0,003
409,5	0,015
410,0	0,024
410,5	0,033
411,0	0,041
411,5	0,046
412,0	0,047
412,5	0,038
413,0	0,052
413,5	0,058
414,0	0,037
414,5	0,035
415,0	0,024
415,5	0,004
416,0	0,004
416,5	0,013
417,0	0,019
417,5	0,014
418,0	0,028
418,5	0,031
419,0	0,023
419,5	0,036
420,0	0,020
420,5	0,019
421,0	0,029
421,5	0,043
422,0	0,052
422,5	0,059
423,0	0,067
423,5	0,072
424,0	0,077
424,5	0,073
425,0	0,046
425,5	0,036
426,0	0,022
426,5	0,036
427,0	0,028
427,5	0,042
428,0	0,039
428,5	0,033
429,0	0,018
429,5	0,014
430,0	0,003
430,5	0,013
431,0	0,027
431,5	0,061
432,0	0,074
432,5	0,101
433,0	0,101
433,5	0,109
434,0	0,098
434,5	0,098
435,0	0,095
435,5	0,109
436,0	0,118
436,5	0,112
437,0	0,114
437,5	0,102
438,0	0,089
438,5	0,078
439,0	0,052
439,5	0,020
440,0	0,005
440,5	0,021
441,0	0,037
441,5	0,047
442,0	0,074
